text,drug
"The investigational anti-α4β7 integrin antibody abrilumab in different doses significantly improved 8-week remission rates versus placebo in refractory patients with moderate to severe ulcerative colitis (UC), a phase IIb trial found. Significant improvements were also observed in clinical response and mucosal healing at week 8, according to the international team of researchers. ""Our data further support the mechanism of targeting the anti-α4β7 pathway as a therapeutic option for the management of moderate to severe UC and the use of anti-α4β7 levels as a potential prognostic indicator in UC,"" wrote William J. Sandborn, MD, of the University of California San Diego, and colleagues. As they explained in their study online in Gastroenterology , the influx of immune cells into gut mucosa, mediated through integrin-dependent leukocytes, plays an important role in IBD pathogenesis. The cellular adhesion molecule α4β7 integrin mediates stable adhesion to high endothelial venules and promotes lymphocyte migration across the endothelial wall. The team noted that restricting homing of lymphocytes to the gastrointestinal tract by blocking essential integrin-mediated interactions has been an area of intensive clinical research over the past 2 decades, and targeting gut-selective lymphocyte trafficking is a promising therapeutic strategy in IBD. Study Details During 2012-2015, Sandborn and co-authors recruited 359 patients with a mean age of 40 from 92 centers in North America, Europe, and Australia. Patients had a total Mayo Score of 6-12 and a rectosigmoidoscopy score of ≥2 with inadequate response or intolerance to immunosuppressives, tumor necrosis factor (TNF) antagonists, and/or corticosteroids. Participants were randomized to receive subcutaneous abrilumab (7, 21, or 70 mg) on day 1, weeks 2 and 4, and every 4 weeks; abrilumab 210 mg on day 1; or placebo. Demographic and disease characteristics were similar across the three groups. The primary endpoint was remission (total Mayo Score ≤2 points, no individual subscore >1 point) for the two highest dosages at week 8. Key secondary endpoints were response and mucosal healing at week 8. After the initial double-blind phase, treatment continued through 24 weeks. Following randomization, a total of 354 patients were included in the 8-week double-blind phase. Of these, 238 patients received ≥1 dose of the investigational drug and 116 received placebo. By week 8, 332 patients had completed the initial phase. The non-adjusted remission rates were 4.3% for the placebo group and 13.3% and 12.7%, for the abrilumab 70-mg and 210-mg groups, respectively ( P <0.05 for both doses versus placebo). That translated into an odds ratio (OR) of achieving remission with abrilumab 70 mg of 3.35 (90% CI 1.41-7.95, P =0.021) and with 210 mg of 3.33 (90% CI1.34- 8.26, P =0.030). The authors noted, however, that these rates were lower than the 21% anticipated in the sample size calculation. The 8-week clinical response and mucosal healing rates at the two higher doses were also significantly greater versus placebo, with ORs of 2.78 at 70 mg and 2.57 at 210 mg. The odds of mucosal healing were also higher: ORs of 2.34 and 2.10, respectively. Adverse event rates were comparable across groups through treatment week 24, with 68% of placebo recipients and 63% of abrilumab recipients reporting at least one treatment-emergent adverse event of any grade. The safety profile is comparable to that of vedolizumab (Entyvio), the authors noted. Higher baseline concentrations of the antibody were a favorable prognostic indicator in UC disease activity and Mayo Score response, but not a predictive biomarker of abrilumab response. No cases of progressive multifocal leukoencephalopathy or deaths occurred. The researchers cited several limitations to the study, including a systematic misalignment of treatments that led some patients randomized to the abrilumab 7-mg group to erroneously receive 70 mg, and some randomized to the 21-mg group to erroneously receive placebo. These patients were analyzed based on the actual treatment received with no impairment of blinding and minimal change to the study's power of detection, Sandborn and co-authors noted. Additionally, they said, because the study was short term, it did not fully evaluate continued treatment following induction of remission at 8 weeks. ""Although we observed a trend toward treatment effect at week 24 for the 70-mg multi-dose group, longer-term phase III studies evaluating clinical remission and response rates beyond 24 weeks are required to draw conclusions on the durability of treatment response,"" the researchers wrote. ""Finally, conclusions regarding treatment responses based on previous TNF antagonist treatment are limited, but initial findings suggested potential benefit in both naive and exposed patients.""",entyvio
"My mom was diagnosed with ulcerative colitis at age 43 in October 2015. Around that time I was 23, just graduated college and passed my CPA exams. I moved to NYC to start my career in public accounting. My mom's case was severe, she was a single parent without health insurance and always put her kids first (I am the oldest of 3, with two brothers who are now 21 and 9). As a result, by the time she sought treatment and was diagnosed, her colon was so far gone that we didn't have a shot with humira or remicade. By November 2015 the pain was so severe my mom's body could no longer handle the strain of working in the food industry and she had to quit. In February 2016 she started the first of her three surgeries for the end result being a proctocectomy with ileal pouch-anal anastomosis. She conquered her final procedure in December 2016 and we thought we were in the clear...finally the road to recovery! Unfortunately we were wrong. In addition to the extreme emotional and mental changes I have seen in her, she has had severe complications with her eyes and lungs that came to fruition relatively quickly post operation. Her cough is so severe that she has fractured her ribs twice now. It's sad and scary that at age 45 she can't walk more than a block without being out of breath. To all of this the doctors have been unable to definitively conclude on a treatment and simply attribute it to her ""UC and auto immune disease"". To make matters worse my mom is a financial mess. She was granted disability in April 2017, but before that went without pay since November 2015. Her current situation is not sustainable to cover her rent and provide for my 9 year old brother, etc. I feel like I'm at a dead end. I travel home from NYC as often as I can and financially provide as much as a 25 year old's salary can, but it's not enough. Caregivers, how do you stay in the loop on your loved ones treatments/care/doctor visits etc if you are unable to be there live? Does anyone have a loved one experiencing similar complications to my mom? If so, what is their medical routine? My mom sees a therapist, rheumatologist, ophthalmologist, PCP... I just feel like we are 8 months post surgery and have made progress in some ways, and 10 steps back in others. Does anyone have any financial resources for the disabled or struggling IBD patients? Should I just move back home? Will I ever get my mom back?",humira
"I’m on Entyvio for 3 years and I still have my 19 year old pouch, pouchitis since day 1! No you won’t lose it. Lots of things out their now.",entyvio
"So glad you got your first infusion done! You scared me there for a second when you said you'd been to the hospital and back 3 days in a row! The infusion I had the time before my last one was like that. She didn't do the best of job putting it in, it hurt some and it beeped CONSTANTLY. She would come by and tell me to not move it around so much. Um, sorry I scratched my face! Not like I was jumping around the room. Then this time I have a big old bruise in my hand. She picked a small not so great vein even though I told her where I had a big juicy one. Frustrating. ~Jennifer Diagnosed with Crohn's Disease in 2006, but suffering since 1997. Currently taking: Methotrexate 25mg Remicade Entocort 3mg Questran Failed: Humira, Imuran (caused pancreatitis), Cimzia",cimzia
"Arthritis drug significantly effective in treating Crohn's disease, study finds Ustekinumab, a human antibody used to treat arthritis, significantly induces response and remission in patients with moderate to severe Crohn ’s disease, researchers have shown that. (Source: ScienceDaily Headlines)",ustekinumab
"Tashia, In responding to a post, you can quote the specific post you are interested in. But, in your case, a good way to use your site is to post in the Introduce Yourself section of our forum. On the upper right side of the introductory page, you should see a Start new topic box. Checking that and posting allows everyone to see your story and realize you are new. From your description of your uncle's treatment, it sounds like he is receiving first-line standard of care treatment for inoperable Stage IV lung cancer. He is receiving combination chemotherapy -- conventional chemo paired with Keytruda, a very effective immunotherapy drug. As Steff reported on her mother's immunotherapy treatment, this combination can be very effective. So others here can provide first hand information, you might tell us about the type of lung cancer your uncle has. You have 3 questions: will this treatment improve his quality of life; will it prolong his life; and will it cure or stop his cancer? Life quality in treatment depends on a lot of factors: age, general health condition, complicating serious illness, and many more. If his first line treatment works, his life quality will improve. You've already reported some improvement in his breathing. Will treatment prolong life? That is the goal and for very many, prolonged life is achieved. In my case, treatment has allowed me to live almost 15 years beyond diagnosis. Can the treatment cure? We don't use the cure word in the lung cancer community but rather use the term no evidence of disease or NED. Yes, this treatment can allow your uncle to achieve NED. It is not unusual for other nodules to occur while receiving immunotherapy treatment. It takes time for the immune system to be primed to recognize cancer cells and during early treatment, scans often show tumor growth or new metastasis. How long is your uncle's treatment period? What are the other drugs he is receiving besides Keytruda? Welcome here. We hope your uncle's treatment resolves his lung cancer. Stay the course. Tom Tom My Uncle is on a 3 month treatment period. He is at his 2nd month point. I believe they are to do another scan this coming Friday. He is having two types of Chemo and Keytruda, that is only drugs they are giving him. And....I have posted in Introduce Yourself section. All I know is it is NSCLC squamous cell. Thank you for your response. And that is great you have been keeping up the good fight for 15 yrs.! Tashia",keytruda
I was on Copaxone 19 years and then had a major relapse doing severe damage—after solumedrol I statrted Gilenya and it helped some but I am still somewhat progessing and wondered about lemtrada—thoughts on Lemtrada vs Gilenya?,gilenya
"My sister-in-law has EGFR+ nsclc and has been through tarceva, tagrisso, chemo and will be starting Opdivo this week. I am aware of the study showing the combination of Opdivo and Yervoy to be superior to Opdivo alone as first line therapy. Have there been any cases where the combo has been used after treatment failure? Are you aware of any way a patient might be able to get Yervoy added to their regimen? Do oncologists ever use off-label treatments outside of a clinical trial? Thank you.",tagrisso
Rituxan wasn’t approved for MS. I am more partial to Rituxan because it’s been around for almost 15 years so there is a history on the drug. Rituxan is a chemical based antibody Ocrevus is a human antibody. This is how it was basically tweaked to go through the trials for MS approval and a new patent. I have many posts on the two. I just liked that rituxan has a history.,ocrevus
"Have you been tested for c.diff? I got c.diff while I was on Simponi. Keith DX'd with Severe Pancolitis June 2005 Previous Meds: 5ASAs, Predisone, 6-MP. Remicade, Humira, Simponi, Cimzia & Cyclosporine 3-step J-Pouch surgery: 2013 & 2014 Current Condition: Chronic Pouchitis -- Not as bad as I thought it would be Current Meds: Stelara Total Hip Replacement: 12/16 -- Thanks Prednisone!!! www.healingwell.com/community/default.aspx?f=38&m=3755226",stelara
"It was supposed to be, at least that is what they told me, but Ocrevus had not been FDA approved yet, Ocrevus seems to be giving people good results and is also the first DMT approved for treating not just RRMS but also PPMS",ocrevus
"Hey Solomon, I hope you're doing alright? Any updates since your last scope? 23 year old male. Diagnosed 2013 w/ severe pancolitis. Nov 2015 - End ileostomy (part 1/3 jpouch surgery) Feb 2016 - Loop ileostomy w/ jpouch creation (part 2/3) Past meds: Entyvio, Remicade, IV steroids, prednisone, Uceris, Lialda, Asacol, Pentasa, Flagyl, Cipro, Bentyl, Culturelle",entyvio
"Thanks all for your responses, @edgarleroy , how have you found cladribine? Any side effects?",cladribine
"@jennyo , it didn’t take me long to find this information about the need for regular bloodwork whilst on Cladribine :- “You will be checked regularly by your doctor while you are taking Cladribine, to monitor side effects and check your response to therapy. Periodic blood work to monitor your complete blood count (CBC) as well as the function of other organs (such as your kidneys and liver) will also be ordered by your doctor.” The Doctors can’t really make comments about the efficacy of this treatment without this information. This is only my opinion. I am NOT medical.",cladribine
"I re-read your post and see that you are now off meds, having not yet started Gilenya. This was my own experience – I was off Copaxone for a few days, was then given the first dose of Gilenya and thought everything would be OK. Not so! The period between stopping one drug and the next one entering your system is the ‘washout’. In my case it lasted about a month and during that time I had very unpleasant symptoms. Maybe some of your issues are down to this?? Just a thought (but a further reason to act quickly).",gilenya
"""After a year or more on totally ineffective Humira I was put on Remicade. It has been effective for the most part. I am on the max dosage at every 4 weeks. At about 4 to 5 days before my infusion I develop my typical crohns symtoms which mostly involves pain. I had one blood test which indicated I was metabolizing the medication more quickly than normal. I if this problem persists I will be tested again to see if I have developed antibodies to the drug. Besides Humira being a total bust I react with high fever and chills to 6 MP. Prior to the Humira I had a resection of a foot of my illeum. I don't have any side effects to the Remicade just the issue I mentioned.""",remicade
"Now with more current data, the concept of pseudoprogression is a concern for many oncologists from the other side of the equation - waiting too long for immuno to work can be a mistake. Here's a recent article by Dr. Jack West of Cancer Grace. Different cancers have different pseudoprogression rates. In melanoma, it can be fairly significant. In lung cancer, it's between 1 and 3 percent. http://cancergrace.org/lung/2016/09/12/death-by-pseudoprogression-knowing-w hen-to-cut-your-losses-with-immunotherapy/#more-17624 Along the same thinking, here's a quote from a lung cancer presentation by Dr. Eddie Garon, in which he says, ""One other important issue to address is this issue of pseudoprogression, and this is something that people in the immunotherapy field have talked about for a long time, that if you have an effective immunotherapy, that you may have immune cells that infiltrate into the tumor and, as a result, rather than getting smaller, that the tumor would actually get larger. That could certainly happen over a short period of time, but what I would say, to date, is it’s not something we’ve seen a lot in lung cancer. Our colleagues in melanoma certainly report this as being a significant issue — patients who will have initial growth of their tumor on imaging, and then, afterwards, will have shrinking. We certainly do have several intriguing anecdotes, sort of individual patients that people will describe who have had, sort of, increases in their tumor volume, but then get better, but I would say that it is actually quite uncommon in lung cancer. So, the dilemma continues to be do we roll the dice if there's some progression and continue for a while, or move onto the next line of treatment? In my case, the first scan after two rounds of Keytruda, showed ""mixed"" results (some progression, some shrinkage, some hint of perhaps new things). Since my PD-1 expression is so high (90%) and because my performance status continues to be zero, oncologist and I decided to keep going for another three infusions and then rescan. He said, ""Conventional wisdom would tell us to move on to something else."" So, we're bucking conventional wisdom for now , with full understanding that it's a risk. Next scan will be in two weeks (after five infusions, total). Clem",keytruda
"As for Jimmy Carter. pembrolizumab, a humanized monoclonal antibody (umab) is no mystery although the details do get technical. If you or a loved one do get cancer I highly recommend ""Undergraduate Immunology"" by Erridge, a very affordable introduction to the subject. Just don't get discouraged by the 40% of the information you are unlikely to understand, just keep reading and use Google when encountering new vocabulary or new concepts.",pembrolizumab
"This is an oral medication in capsule form.  Description Gilenya® is a new class of medication called a sphingosine 1-phosphate receptor modulator, which is thought to act by retaining certain white blood cells (lymphocytes) in the lymph nodes, thereby preventing those cells from crossing the blood-brain barrier into the central nervous system (CNS). Preventing the entry of these cells into the CNS reduces inflammatory damage to nerve cells. Gilenya was approved by the U.S. Food and Drug Administration (FDA) in 2010 for adults with relapsing forms of MS to reduce the frequency of clinical relapses and to delay the accumulation of physical disability. Click here to read the Gilenya Prescribing Information for healthcare professionals. Click here to read the Gilenya Medication Guide for patients.  Support Gilenya Go Program www.gilenya.com 1-800-GILENYA (1-800-445-3692)  Financial Assistance Program Gilenya Go Program www.gilenya.com/c/ms-pill/go-program 1-800-445-3692",gilenya
"Hi, Before I got diagnosed with RRMS, I had a list of symptoms including sensitive skin, pins and needles, numbness from below the belly button, dizzy, unstable walking, loss of control in hand, MS hug, burning sensation, l'hermittes sign & weakness in arms. I've been on Ocrevus for a year now and the only residual symptom I have is the burning sensation. I did get referred to a physio when I got diagnosed, however at the appointment we agreed I didn't need any treatment.",ocrevus
"Reply posted for charbs. Yes, I agree it was a financial decision for them to take me off Remicade, though I did read up on it at the time, having heard that sometimes going back to Remicade after a break is problematic. I also read a convincing study, though, that suggested both relapse AND building up immunity to Remicade happened about as often regardless of taking a break. Whether it was a good or bad move is moot at this point, I'm afraid. Note that I'm still on Imuran and the doc doesn't plan to take me off that--just to add steroids to manage the flare. My concern was that bringing steroids back into the picture made less sense than adjusting the Imuran. But I""m hearing from others that sometimes a course of steroids gives the system a chance to ""reboot"" and can actually STOP a flare (?)...maybe others have heard this as well? Thanks!",remicade
"Although they do certain things differently in Wales, like free prescriptions, the NHS is still the NHS. You should still be able to get Fingolimod. I advise you to get an appointment with a neurologist as soon as possible after you move. The neurologist will have to give approval to renew the prescription. Any benefits should just transfer over. Inform the DWP as soon as you move.",fingolimod
"Hi Dutch46, I hope someone who has used nivolumab in this context can chime in, because I don’t have an good data to share with you on its efficacy in mBAC, but Dr. Evan Lipson of Johns Hopkins presented some good information on managing immunotherapy side effects in this podcast. I checked out the PD-L1 Blueprint Project assay comparison paper; thanks for pointing out that interesting study. It illuminates the issue of just how slippery the distinction between high and low PD-L1 expression can be, as well as the still-open question of how well does the level of expression predict response to treatment. Different trials use varying cutoffs between high and low, and as the report states, the experience of the pathologist with a particular assay can be a factor. It’s certainly doubtful that a patient just above the chosen threshold will fare significantly better than one just below it. Although it may not provide much comfort to you and your wife, who were hoping to get the trial drug, in almost two-thirds of the small number of cases there was agreement between all four assays, and by one practical standard, the assay chosen might only have affected inclusion in about 15% of the cases.  I hope that nivolumab proves especially effective for your wife, and that side effects are minimal and manageable. Please let us know how she is doing with the new therapy. JimC Forum moderator   Jul 2008 Wife Liz (51/never smoker) Dx Stage IV NSCLC EGFR exon 19 4 cycles Carbo/alimta, 65% shrinkage Tarceva maintenance Mar 2010 progression, added Alimta, stable Sep 2010 multiple brain mets, WBR Oct 2010 large pericardial effusion, tamponade Jan 2011 progression, start abraxane Jun 2011-New liver, brain mets, add Tarceva Oct 2011-Dx Leptomeningeal carcinomatosis; pulsed Tarceva At rest Nov 4 2011 Since then: http://cancergrace.org/blog/jim-and-lisa",nivolumab
"Good thoughts, thanks California. Risk analysis continues... The internet has certainly had plenty to say about the rituximab/ocrelizumab issue for quite a while.",ocrelizumab
"I recently started Gilenya, but due to major issues with side effects, I was stopped after 10 days. It's now been suggested I take Tecfidera, and I wondered if anyone has any experience of the two? Best wishes Sarah",gilenya
"Hi  Deb1313 ‍ I too have nsclc and was treated with Keytruda. I am a year in after being diagnosed. Luckily for me it only took 4 treatments before all my tumors were gone. I am back to full health and feeling great. I certainly hope that your mom pulls through with great results. Keep the faith, it does get better. fighter4life",keytruda
"Hi Marcell, I am writing because I have a J-pouch and PSC. I had severe pancolitis that did not respond to medicine. The surgeon described my colon as looking like a bomb went off inside. I don't post much because I am living my life. Am I the same as I was before UC and having a j-pouch? No I am not, but any inconvenience with my j-pouch is nothing compared to what I went through with UC. If you don't have PSC I wouldn't spend time worrying about it. I was diagnosed after my j-pouch surgery. Who know whether I had PSC first then UC, it doesn't matter to me because it doesn't change the diagnosis. The initial diagnosis scared me only because I had a baby (yes after J-pouch surgery) and I was afraid I wouldn't be here to watch her grow. Now, I know a lot more about PSC. Yes it has to be monitored and yes I might someday need a liver transplant, but what good does that do me to worry about that today? The worst problem I have with it today is itching but it can be managed. I agree with iPoop it is good to have an understanding of your medical issues, but you can make yourself crazy doing so. Focus on the good and what you can control. Take care! 38 year old Female from the Buckeye State. Initally misdiagnosed Crohn's Oct 2013. 2nd opinion at Cleveland Clinic rediagnosed Severe Pancolitis/Ulcerative Colitis Jun 2014. 3 recurrences of C-DIFF Spring 2014. Fecal transplant May 2014. PSC diagnosis 2017. Failed Meds: Asacol HD, Prednisone, Humira, Flagyl, Vanco, and Dificid Step 3 J-pouch surgery finished: February 2015",humira
"Cancer immunotherapy is going from strength to strength, as first and second generation therapies that alert the immune system to hidden tumours by switching off checkpoint controls continue to have spectacular success in the clinic. Inevitably there have been setbacks, as many patients do not respond, or cannot tolerate the often toxic side effects of treatment, but a future where immunotherapy replaces chemotherapy as the first-line treatment for many cancers seems likely. While there is still intense interest in further refining existing therapies targeting checkpoint controls, attention in both the academic and pharmaceutical sectors has also turned to the next big challenge: the problem of why some patients and tumour types are non-responders. The solution, according to many, lies in combination therapy – using both old and new ways of manipulating the anti-tumour immune response in concert with relief of checkpoint controls. Protocols combining immunotherapy with radio- and virotherapy are also being developed globally. The advent of immunotherapy is truly a step-change in our ability to treat many cancers. As the excitement settles into a consideration of how best to move forward, it has never been more important to support and develop the immunotherapy community within the UK. Of course, as in any field, scientists will always be the key to progress, but funding organisations also have an important part to play. CRUK has the resources and ambition to turn your ideas into patient benefit as quickly and efficiently as possible, so come and talk to us – we can help you to help us step into a new era of cancer therapy.  The Cancer-Immunity Cycle Once jump-started by immunotherapy, successful tumour killing needs the anti-cancer immune response to become self-driven. Aiding this crucial transition, whilst preventing it from running out of control, is the rationale behind combination therapy. For clarity, it’s helpful to consider the anti-cancer immune response as a cycle, as proposed by Dan Chen and Ira Mellman in an influential Immunity review in 2013. The Cancer-Immunity Cycle begins when cancer cell antigens are released (step 1), and presented to the immune system (step 2), resulting in priming and activation of T cells (step 3). Activated T cells must then migrate to and infiltrate the tumour (steps 4 and 5), where they bind to tumour cells (step 6), and collaborate with the innate immune system to kill them (step 7). Cell killing leads to the release of more cancer antigens, resulting in another revolution of the cycle. Each successive revolution amplifies the response. Steps 3 and 7 are the points in the cycle at which checkpoint controls can kick in, putting the brakes on the cycle and stopping it dead. The recent immunotherapeutic breakthroughs have resulted from the development of agents able to take these brakes off. The anti-CTL4 drug ipilimumab forces T cell activation at step 3, and the anti-PD1/PDL1 drugs nivolumab and pembrolizumab maintain activated anti-tumour T cells in a combat-ready state at step 7, by inhibiting T cell exhaustion and tolerance. Taking the brakes off means that therapeutics able to accelerate and amplify the cycle are now able to work more effectively.   Step 1: Release of cancer cell antigens Many existing targeted drugs currently being trialled as combination therapies focus on cancer cell killing, with concomitant release of antigens, but other modalities are increasingly in the spotlight. At The Institute of Cancer Research, Kevin Harrington is running a Phase III trial of T-VEC, an HSV-1-based oncolytic virotherapy, in combination with pembrolizumab for treatment of advanced melanoma. And in a different approach, a Trojan Horse oncolytic therapy is being explored at the University of Sheffield: work from the labs of Claire Lewis and Munitta Mutana, showing that a patient’s own macrophages can transport the oncolytic virus Ad[I/PPT-E1A] deep into the heart of prostate tumours, is now being taken into a CRUK-funded Phase I clinical trial led by Janet Brown, also in Sheffield, and in collaboration with our Centre for Drug Development (CDD). Combined radio- and immunotherapy is attracting attention, due to the abscopal effect, a phenomenon whereby on rare occasions localised radiotherapy together with relief of checkpoint blockade is associated with the regression of metastatic cancer at a distance.  Step 2: Cancer antigen presentation Vaccination, the traditional way of artificially presenting antigens to the immune system, is experiencing a resurgence. Therapeutic cancer vaccines have a long and largely unsatisfactory history, which in the light of our new understanding of checkpoint inhibition is now perfectly explicable; trying to rev up an immune system whose brakes are firmly applied was never going to be successful. However, as a combination therapy, vaccines are far more likely to work, and CRUK has some exciting prospects in the pipeline. One of these is the work of Alan Rickinson and colleagues at the University of Birmingham, whose long-term commitment to EBV vaccine development was recognised by the 2015 CRUK Translational Cancer Research Prize. Dendritic cells are the professional antigen presenting cells of the immune system, and using them as vectors to stimulate an immune response to cancer has had some success in the past. However, the need to laboriously culture dendritic cells from individual patients, and then load the cells in vitro with cancer antigens, has severely limited progress. Our CDD has an innovative take on this. In partnership with Asterias Biotherapeutics, they’ve developed an off the shelf approach where stem cells can be differentiated into dendritic cells, which are then loaded with telomerase, commonly upregulated in many tumours. The resulting vaccine, AST-VAC2, is being made in the CRUK Biotherapeutics Development Unit at Clare Hall, and is projected to enter a clinical trial in lung cancer in 2017.  Step 3: Priming and activation Step 3 is the point of the cycle at which the effector: regulatory T cell balance of the immune response is established. CTLA4-blocking antibodies such as ipilimumab move the balance over to favour effector T cells, allowing a more vigorous immune response, but anti-CTL4 blockade is not always effective. Alternatives, such as agonistic antibodies able to switch on positive regulators of effector T cells, are being trialled in combination therapies, but whilst promising, it’s too early to say whether such strategies will be widely applicable due to sometimes severe toxicity.  Steps 4 & 5: Infiltration of T cells into tumours Analysis of cancers where checkpoint inhibitors have been ineffective has shown that in some cases, notably pancreatic cancer, tumours can construct a fortress around themselves that immune cells cannot penetrate. In 2014, Doug Fearon and colleagues at our CRUK Cambridge Institute showed that pancreatic tumour cells are coated in the T-cell-excluding CXCL12 chemokine; remarkably, whilst anti-PDL1 therapy was ineffective, combining it with the CXCL12 inhibitor AMD3100 resulted in significant tumour shrinkage in a mouse model. Two years on, AMD3100 is going into Phase I clinical trials for pancreatic cancer both here and in the US, with a view to testing it in combination therapies. Glasgow-based CRUK scientists Jennifer Morton and Owen Sansom, working in collaboration with AstraZeneca have recently shown that this approach can be extended to other chemokines. In their labs, an experimental drug against the CXCR2 protein not only suppressed metastasis in a mouse model, but, just as for AMD3100, improved T cell entry into pancreatic tumours. In mice, combined inhibition of CXCR2 and PD1 significantly extended survival, making CXCR2 another excellent prospect for a therapeutic target.  Step 6: Recognition of cancer cells by T cells CAR-T cells, so called because they express artificial Chimaeric Antigen Receptors, can bind to and kill cancer cells. Using CRISPR to modify and introduce genes into cells means that such cell-based therapies are booming. Engineered receptors of all shapes and sizes are being developed, aimed at achieving better activation and killing, whilst ramping up the affinity and specificity with which the receptors recognise and bind their tumour targets. To increase efficacy, most are being considered in combination with checkpoint inhibitors, as are the therapies described below. In another approach to tumour recognition, dual specificity antibodies and connecting bi-specific T cell engagers (BiTEs) are being used as bridging molecules to grab hold of tumour and immune cells, bringing them close enough to activate the kill function of the immune cells. Those that have been trialled so far are showing high response rates, albeit often with high toxicity. CRUK is supporting several lines of work in this area, ranging from trials of next generation CAR-T cells for neuroblastoma (John Anderson at Great Ormond Street Hospital, sponsored and managed by our CDD) and pancreatic cancer (John Maher at UCL) to a company based around CAR-T therapy to disrupt tumour vasculature via binding to CLEC14a, a marker of tumour angiogenesis (Steven Lee and Roy Bicknell in Birmingham, in collaboration with CRT and the Cell Therapy Catapult).  Step 7: Killing of cancer cells The interaction of cancer cells with the tumour microenvironment, including the cells of the adaptive and innate immune systems, determines whether a tumour will survive and prosper or wither away. Whilst targeting the PD1/PDL1 checkpoint has been very successful, it’s clear that combining checkpoint inhibition with other strategies to mould the inflammatory microenvironment will be even more effective. A host of ideas are currently touted, particularly in the relatively unexplored area of innate immunity. There’s a lot of interest in manipulating inflammasomes, the signalling scaffolds that trigger cell killing by the innate immune system. Agonists are being developed to artificially activate the inflammatory response, although concerns about toxicity mean that any such therapies would have to be strictly topical, perhaps delivered by injection into the tumour.  The CRUK-MEDI Alliance Laboratory: Crowdsourcing new ideas in antibody therapy Monoclonal antibody-based drugs have provided the platform for the success of immunotherapeutic checkpoint inhibition. The exquisite specificity of antibody variable regions as a means of manipulating the immune system and its tumour targets, means that the role of antibody-based biotherapeutics has never been more important. The CRUK-MEDI Alliance Laboratory is testament to CRUK’s determination to put biotherapeutics front and centre of our research. The lab, a joint project between CRUK and MedImmune, is an opportunity to crowdsource ideas for new targets, and rapidly put them into practice. According to Rob Williams, Chief Drug Development Scientist for our Centre for Drug Development (CDD): “The philosophy is that we don’t know what’s coming next”, he says, “so we want to tap into the community to pick up exciting ideas, and turn them into novel biological therapeutics”. The lab specialises in phage display technology, which allows researchers to quickly scan through millions of randomly-generated antibodies to find ones that recognise important molecules involved in cancer. Maria Groves believes MedImmune is the perfect partner for such a strategy. “MedImmune provide 20 years of phage display expertise and in-depth knowledge of the technology and drug discovery and disease processes”, she says. But collaboration will be the key: “Building a network of principal investigators generating novel ideas for oncology therapeutics will be central to the success of this exciting new venture”, Maria continues. The lab has already reviewed over 20 applications, several of which are now major active projects. Whilst access to the lab was initially open only to CRUK-funded researchers, in autumn 2016, this will be opened up to all researchers. Rob’s message to the research community is clear: “We want people to think imaginatively about novel ways of using biotherapeutics to fight cancer, and to come to us with those ideas. CRUK has the infrastructure and funding schemes to develop new concepts into tomorrow’s medicines – we want to hear from you!”  Find out how the CRUK-MEDI Alliance Laboratory can support your research In this article  Rob Williams Chief Drug Development Scientist, CRUK Centre for Drug Development   Maria Groves Head, CRUK-MEDI Alliance Laboratory  Discover more How we support drug discovery research CRUK Centre for Drug Development brochure (PDF)  This story is part of Pioneering Research: our annual research publication for 2015/16 .  The text in this work is licensed under a Creative Commons Attribution 2.0 UK: England & Wales License .",nivolumab
"Hi. I'm diagnosed with Crohn's disease and was taking Remicade for about a year but started getting a skin reaction from it, so I went off the medicine. However I'm having such a flare right now and just recently got a colonoscopy done and wow my insides don't look good. I want to go back on remicade, but I hear people have bad results and it won't work for them after they stop taking it? I haven't been taking it for maybe 3 or 4 months now. Is there still a chance for me to get back on it? Can my body still accept it again and work for me? Has anyone here ever gotten back on remicade successfully?",remicade
thank you! i'm pretty sure that endometrial serous type cancer has a high pd1 expression. I was never tested but have read this. Do you know by any chance? Ive never heard of Tecentriq. Hoping the Keytruda is working.,keytruda
"Anunymouse wrote: ↑  Tue Feb 05, 2019 6:43 pm Because statistically mild drugs ARE NOT effective? At all? Over time the same percentage of people on them as not taking anything, reach the same end point. The way the drugs 'work' is unverifiable. You can't prove that you took x so you only had 3 relapses instead of 4. All you can say is you only had 3 relapses. When you end up in a wheelchair regardless, in the same timeframe, it doesn't matter how many shots you took. When you read the studies and see that the difference between CRAB and nothing is essentially the same, it's a pretty hard argument for me to make that there is a reason to take shots every day. While they *may* help 8 more people out of a 100 than nothing at all, I can run the odds. If I'm going to take any drugs, I'd prefer to take one's with a little better odds of doing something. Hard and heavy IMO. If I'm in a fight, I fight to win. I don't fight to barely not tie. Let's say you are diagnosed at 30 years old=T0 A) You started a mild drug B) You started Ocrevus or Tysabri Both are NEDA at T0+2. B is JC Virus positive. A had a minor relapse and B was NEDA at T0+3 Now my point, patient B at T0+4 JC Virus level was high and the doctor suggested stopping it. Very limited choices at that time. Either continue the drug at very high risk or go drug-free. Patient A started Ocrevus with very low PML risk. I believe as long as you are NEDA or having acceptable relapses, going mild drugs is better for the future. Wasting better drugs at early stages is not a good choice.",ocrevus
